Season,Episode,Title,Airdate,Synopsis,Directed by,Written by
11,16,Dressed to Kill,"March 4, 2014.","As Tony is grounded for an IG investigation after shooting a man who was allegedly impersonating a Navy officer, the rest of the NCIS team investigate and how it's all connected to a United States Senator while DiNozzo Senior arrives back in town with a secret that he has to reveal to his son.",Thomas J. Wright,George Schenck & Frank Cardea
11,17,Rock and a Hard Place,"March 18, 2014.",The NCIS team investigate a explosion and need to determine if the target was a washed up rock star who was big in the 1980s while Palmer prepares for fatherhood.,Arvin Brown,Steven D. Binder
11,18,Crescent City,"March 25, 2014.",The NCIS team investigate the murder of a Congressman who was also a highly decorated NIS agent and join forces with their NCIS New: Orleans counterparts with both teams suspecting that it could be connected to the Privileged Killer case.,James Whitmore Jr.,Gary Glasberg
11,19,Crescent City Part 2,"April 1, 2014.","As Gibbs and Bishop explore New Orleans to search for the copycat killer of the Privileged Killer with Gibbs's friend, NCIS Special Agent Dwayne Cassius Pride and Pride's own team assisting them, back in D.C, DiNozzo and McGee continue exploring other aspects connected to the case with help from FBI Agent Tobias Fornell while DiNozzo receives a surprise gift from Bishop.",Tony Wharmby,Gary Glasberg
11,20,Page Not Found,"April 8, 2014.",The NCIS team investigate a potentially conversational case while McGee wonders if he should ask Delilah to move in with him or not.,Terrence O'Hara,Christopher J. Waild
11,21,Alleged,"April 15, 2014.",The NCIS team investigate the death of a Navy officer and discover that it may be connected to an attack on a female Naval officer.,Arvin Brown,Scott Williams
11,22,Shooter,"April 29, 2014.",NCIS investigate the disappearance of a Marine photographer and soon discover that his murder may be connected to an illegal organ harvesting trade while Abby tries to help a young homeless woman reconnect with her family.,Dennis Smith,George Schenck & Frank Cardea
11,23,The Admiral's Daughter,"May 6, 2014.","While in France to escort the daughter of an Admiral to America, DiNozzo finds himself on the run after being framed for murder.",James Whitmore Jr.,Christopher Silber & Steven D. Binder
11,24,Honor Thy Father,"May 13, 2014.","As Gibbs struggles to cope with his father's death, the rest of the NCIS team find themselves investigating a breakout on board a Navy ship and as such, are reunited with an enemy from their past.",Tony Wharmby,Gary Glasberg & Gina Lucita Monreal
12,1,Twenty Klicks,"September 23, 2014.","Gibbs and McGee travel to Russia to escort an NCIS computer engineer back to America but things take a turn when their helicopter is downed by a missile, forcing Gibbs and McGee into a fight for their lives against a Russian mercenary group who want them dead. This episode also marked the debut appearance of recurring character, terrorist Sergei Mishnev.",Tony Wharmby,Gary Glasberg & Scott Williams
12,2,Kill The Messenger,"September 30, 2014.",The NCIS team investigate the death of a Navy Lieutenant and must determine if his death was a part of a recent stream of muggings in the area or a targeted hit to keep intel secret.,Dennis Smith,George Schenck & Frank Cardea
12,3,So It Goes,"October 7, 2014.","The NCIS team investigate a death and Ducky discovers a connection to his childhood, prompting Ducky and Bishop to travel to London as they seek to determine what happened while back in D.C., the rest of the team tackle the case.",Leslie Libman,Steven D. Binder
12,4,Choke Hold,"October 14, 2014.","SECNAV assigns the NCIS team to a joint terrorist task force after a research scientist working for the Navy dies from wounds sustained from being garroted with Gibbs telling DiNozzo to run interference with the leader of the task force, FBI Agent Leia Pendergast.",Terrence O'Hara,Christopher J. Waild
12,5,The San Dominick,"October 21, 2014.","Gibbs investigates when the body of a man is found overboard with the NCIS team and CGIS agent Abigail Borin discovering that the dead man was a member of a cargo ship 60 miles away. Upon boarding the ship to get answers as to what happened, Gibbs finds himself becoming a hostage as the ship has been taken over by pirates but all is not what it seems...",Arvin Brown,Christopher Silber
12,6,Parental Guidance Suggested,"October 28, 2014.","A woman whose Navy SEAL husband's name is on a jihadist hit list has been murdered, and the team must figure out if her death was the result of a terrorist attack or something much more sinister. One of Tony's old friends, ATF Special Agent Zoe Keates, is introduced.",Thomas J. Wright,Jennifer Corbett
12,7,The Searchers,"November 11, 2014.",NCIS investigate the death of a retired Master Sergeant and discover a fraudulent charity that preys on those searching for missing military personnel while Bishop agonizes over her probationary exam results.,Tony Wharmby,Gina Lucita Monreal
12,8,Semper Fortis,"November 18, 2014.",Gibbs looks for a way to clear a Navy Hospital Corpsman of charges after she has illegally helped the victims of a hit and run.,Dennis Smith,Matthew R. Jarrett & Scott J. Jarrett
12,9,Grounded,"November 25, 2014.","While weather worsens outdoors, DiNozzo, Bishop, and her husband, Jake, are stuck at Dulles airport working on a case involving a terrorist threat.",Bethany Rooney,Scott Williams
12,10,House Rules,"December 16, 2014.","The NCIS team consult with three cyber-terrorists they imprisoned after a citywide Internet shutdown the week before Christmas. Meanwhile, McGee reflects on the case and Gibbs' infamous rules as he writes a heartfelt letter to his father.",Terrence O'Hara,Christopher J. Waild
12,11,Check,"January 6, 2015.","As the team investigate some crime scenes that appear to be copycat of previous crime scenes, Gibbs finds himself being cornered when two of his ex-wives return, only for tragedy to strike when someone close to Gibbs is brutally murdered.",Alrick Riley,Steven D. Binder
12,12,The Enemy Within,"January 13, 2015.","The NCIS team searches for a home-grown terrorist after a rescue mission in Syria reveals an American was involved in the capture of a social worker. Meanwhile, McGee and Bishop question DiNozzo’s unusual behavior.",James Whitmore Jr.,George Schenck & Frank Cardea
12,13,"We Build, We Fight","February 3, 2015.","Gibbs and the team investigate when a Navy lieutenant who is set to be the first openly gay servicemember to receive the Medal of Honor is murdered. Also, as his wife’s due date approaches, Palmer prepares for fatherhood with a NCIS baby shower.",Rocky Carroll,Jennifer Corbett
12,14,Cadence,"February 10, 2015.","DiNozzo returns to the military academy he attended as a teen after a murdered Marine, who was an alumnus of the school, is found clutching the photo of a current student. Meanwhile, Bishop and her husband invite Gibbs and the team for a special dinner.",Tony Wharmby,Christopher Silber
12,15,Cabin Fever,"February 17, 2015.","The NCIS team suspects Gibbs's arch-nemesis is behind an explosion at a summit for global terror event, but Gibbs elects to sit out the investigation in order to help a grief-stricken Fornell, whose life is on the verge of imploding following his wife's murder.",Bethany Rooney,Scott Williams
12,16,Blast from the Past,"February 24, 2015.",A covert identity created for one of Gibbs' undercover cases from 20 years ago resurfaces when a murder victim is found living under the alias.,Dennis Smith,David J. North
12,17,The Artful Dodger,"March 10, 2015.","DiNozzo Senior comes to visit Tony as a surprise, but his knowledge and contacts within the black market art world will greatly help the team as they work to solve a murder involving a rare painting.",Terrence O'Hara,Gina Lucita Monreal
12,18,Status Update,"March 24, 2015.","After the body of a thief is found in a Marine's house, NCIS discovers the calling card of a terror group Delilah and the Department of Defense have been tracking.",Holly Dale,Christopher J. Waild
12,19,Patience,"March 31, 2015.",The murder of a petty officer sparks a lead in a 40 year old airport bombing cold case that Gibbs and DiNozzo have been assigned to for the past two years while McGee is jealous that he was not previously briefed on the cold case.,Thomas J. Wright,Steven D. Binder
12,20,No Good Deed,"April 7, 2015.","DiNozzo is partnered with his girlfriend ATF Special Agent Zoé Keates after evidence reveals that the murder weapon in an NCIS case was originally purchased for the controversial ATF sting operation ‘Operation Fast and Furious.’ Also, Anthony DiNozzo Sr. returns to town for a special dinner to meet his son’s girlfriend.",Arvin Brown,George Schenck & Frank Cardea
12,21,Lost in Translation,"April 14, 2015.","Gibbs and Bishop go to Afghanistan after the murder of a marine in Washington, D.C., is linked to a terror group that is holding another marine hostage overseas while DiNozzo gets upset when he learns that McGee is the new face of NCIS on recruitment brochures.",Tony Wharmby,Jennifer Corbett
12,22,Troll,"April 28, 2015.",Special Agent Ned Dorneget from NCIS cyber operations assists the team when a Navy ensign who worked in the Office of Naval Intelligence is murdered while the team discovers that Jake and Gibbs have become good friends.,Dennis Smith,Scott Williams
12,23,The Lost Boys,"May 5, 2015.","The NCIS cyber case turns into a united global effort after evidence confirms ""The Calling"", an international terrorist group that recruits children through the internet, has been purchasing S-bombs off the black market.",James Whitmore Jr.,Gina Lucita Monreal
12,24,Neverland,"May 12, 2015.","NCIS feverishly investigates a global terrorist group that is recruiting teens via the Internet, following a deadly bombing overseas that results in an emotional and surprising loss for the team.",Tony Wharmby,Gary Glasberg
13,1,Stop the Bleeding,"September 22, 2015.","Two days after the events in the previous episode, Gibbs finds himself fighting for his life as he's treated on board the medical ward of the U.S.S. Daniel Webster while DiNozzo and CIA officer Joanna Teague who is also the mother of deceased NCIS Special Agent Ned Dorneget both travel to Shanghai, China to try and take down the Calling once and for all while everyone tries to come to terms with the fallout from Gibbs being shot.",Tony Wharmby,Gary Glasberg & Scott Williams
13,2,Personal Day,"September 29, 2015.","DEA agent Luis Mitchell is investigating a case that keeps going cold, prompting Gibbs to call on the NCIS team for help in solving the case once and for all. However, Tony soon discovers that there's more than Gibbs's personal connection and his desire to see Mitchell succeed while the team exchange gossip concerning Gibbs's new look after Gibbs trades his standard military haircut and polo shirt for a modern cut and tailored dress shirt.",Terrence O'Hara,Gina Lucita Monreal
13,3,Incognito,"October 6, 2015.","A Marine calls Gibbs to discuss a possible case but the Marine is later found murdered in Quantico hours later, prompting the NCIS team to investigate and as this happens, McGee and Bishop must go undercover to run surveillance on a Marine Lieutenant and his wife.",James Whitmore Jr.,George Schenck & Frank Cardea
13,4,Double Trouble,"October 13, 2015.","When a murder case is revealed to be connected to a disgraced former NCIS Special Agent who was jailed for stealing, Vance returns to field duty and partners with Gibbs to solve the case once and for all.",Dennis Smith,Christopher J. Waild
13,5,Lockdown,"October 20, 2015.","To help with a murder case, Abby visits a pharmaceutical lab but soon finds herself trapped and without any communications to the outside world after mysterious armed man take over the building and hold everyone hostage. Now, Abby must find a way to stop the bad guys before it's too late but all is not what it seems...",Bethany Rooney,Stephen D. Binder
13,6,Viral,"October 27, 2015.",The NCIS team investigate when the murder of a petty officer is revealed to match a M.O. that a local serial killer is using and it falls to the team to discover if this is the serial killer's latest victim or if it's a copycat killing while McGee and Delilah must learn to compromise before moving in together and potential tragedy lies in store for Bishop...,Rocky Carroll,Jennifer Corbett
13,7,16 Years,"November 3, 2015.","As the NCIS team investigate the murder of a Navy Lieutenant, they soon learn that Ducky is a member of a secret society dedicated to solving cold cases.",Mark Horowitz,Brendan Fehily
13,8,Saviors,"November 10, 2015.","When insurgents in Sudan attack a group of volunteer doctors, DiNozzo and McGee travel to Sudan to investigate the crime scene and also tackle the joint murder and kidnapping case with DiNozzo reuniting with his ex-girlfriend, Jeanne Benoit as they attempt to rescue the missing doctors while attempting to get to the bottom of what happened.",Tony Wharmby,Scott Williams
13,9,Day in Court,"November 17, 2015.","In order to clear his name, petty officer Kyle Friedgen volunteers to be court-martialed in order for NCIS to complete their own investigation after his murder case is dismissed due to a mishandled warrant while Bishop and Jake discuss their marital problems.",Dennis Smith,George Schenck & Frank Cardea
13,10,Blood Brothers,"November 24, 2015.","When two Marines are killed in the line of duty, SECNAV Sarah Porter calls on the NCIS team to help a sailor battling leukemia locate a potential bone marrow transplant before it's too late while as Thanksgiving looms and in the aftermath of events in the previous episode, Bishop returns home to Oklahoma to spend the holidays with her family.",Arvin Brown,Jennifer Corbett & Gary Glasberg
13,11,Spinning Wheel,"December 15, 2015","When Ducky is attacked by a man claiming to have information on Ducky's half-brother who died decades ago, the NCIS team jump into action as they seek to find the person responsible while Ducky remembers the final emotional days he had with his sibling and with the holidays fast approaching, Bishop and Jake reunite to discuss the future of their relationship.",Terrence O'Hara,Steven D. Binder
13,12,Sister City: Part 1,"January 5, 2016.","When the passengers and crew of a private plane are all fatally poisoned, the main NCIS team form a partnership with their counterparts in New Orleans to find Abby's brother and determine who, how and why the passengers were poisoned.",Leslie Libman,Christopher J. Waild
13,13,Déjà Vu,"January 19, 2016.","When a Seaman who was set to testify before a grand jury is found dead at a rubbish dump, the NCIS team discover the resurgence of an international human-trafficking ring while McGee must spend the night at a colleague's home after a storm causes a massive power outage all through Washington D.C.",Rocky Carroll,Matthew R. Jarrett & Scott J. Jarrett
13,14,Decompressed,"February 9, 2016",The NCIS team investigate the death of a deep-sea diver and find them conducting an unorthodox investigation in which they examine the case on the outside while the remains and the victim's co-workers who are also suspects must stay in a high-tech decompression chamber for four days.,Thomas J. Wright,Brendan Fehily
13,15,React,"February 16, 2016.","When SECNAV Sarah Porter's teenage daughter is kidnapped, the NCIS team partner with the FBI, particularly FBI Agent Tobias Fornell in order to solve the case, determine a motive for the kidnapping and bring Porter's daughter home while McGee's childhood friend, NCIS Special Agent Valerie Page is in town to assist the team with advance tactics training.",Bethany Rooney,Jennifer Corbett
13,16,Loose Cannons,"February 23, 2016.","During an NCIS case, Dr. Cyril Taft finds himself experiencing the rush and thrills of being an assistant in the case after he's assigned surgical duty to a suspect that the team have in custody with Taft later discovering key evidence crucial to the case while DiNozzo pays his old girlfriend, Jeanne Benoit a visit as he chases a potential lead involving a group of doctors in Sudan.",Alrick Riley,Scott Williams
13,17,After Hours,"March 1, 2016.","The NCIS team find their plans being interrupted when they discover errors in a seemingly cut and dried case that has apparently been closed. As the team work to find out what's gone wrong in the case, McGee and Delilah argue over the importance of not discussing work during dinner while DiNozzo bores his date with shop talk.",Terrence O'Hara,Cindi Hemingway
13,18,Scope,"March 15, 2016.","When an American couple are attacked in an area in Iraq, the NCIS team re-examine an ambush on a group of Special Ops that occurred in the same area six months prior to the attack. During the main investigation, Gibbs discovers that he needs the account of the solo survivor of the attack who is being treated for PTSD at the Walter Reed Memorial Center with Gibbs attempting to connect with the Marine.",Tony Wharmby,Gary Glasberg & Gina Lucita Monreal
13,19,Reasonable Doubts,"March 22, 2016.","When a Navy Public Affairs officer is murdered, the NCIS must find out who is lying: the victim's wife or mistress after the two women accuse each other of other while Anthony DiNozzo Seniors returns to D.C. to help a homeless woman who believes he is her father.",Thomas J. Wright,George Schenck & Frank Cardea
13,20,Charade,"April 5, 2016.",The NCIS team face a battle on their hands when DiNozzo's identity is stolen by multiple criminals who while posing as the fakes also begin blackmailing various Senators.,Edward Ornelas,Brendan Fehily
13,21,Return to Sender,"April 19, 2016.","The NCIS team are reunited with FBI agent Tobias Fornell as they both investigate how two British prisoners, one of whom is a former spy both escaped after arriving in the United States via a shipping container while McGee goes apartment-hunting with DiNozzo and McGee is also determined to find out how DiNozzo purchased his own lavish place.",Leslie Libman,Christopher J. Waild
13,22,Homefront,"May 3, 2016.","The NCIS team investigate when a fourteen year old manages to foil a home invasion with Gibbs suspecting that the teenager is withholding something, possibly pertinent details while Director Vance and Senior FBI Agent Tobias Fornell travel to London as part of the ongoing escaped British spy case.",Dennis Smith,Gina Lucita Monreal & Jennifer Corbett
13,23,Dead Letter,"May 10, 2016.",The NCIS team working alongside the FBI and MI6 redouble their efforts to find an escaped British spy with the manhunt spreading all over the world while one of their colleagues is left fighting for their life in ICU.,James Whitmore Jr.,Steven D. Binder
13,24,Family First,"May 17, 2016.","NCIS, FBI and MI6 continue an international manhunt for an escaped British spy who is targeting current and former agents.",Tony Wharmby,Gary Glasberg & Scott Williams
14,1,Rogue,September 20th 2016,"The NCIS team investigates a deadly car explosion in D.C. that is connected to NCIS Special Agent Nicholas Torres who disappeared six months ago while on a deep undercover assignment in Argentina. In the meantime, having rejected eight agents, Gibbs asks NCIS Special Agent Alexandra Quinn who recommended the agents to Gibbs to shadow his team.",Tony Wharmby,Gary Glasberg & Jennifer Corbett
14,2,Being Bad,September 27th 2016,"While investigating a death that took place at a reunion at Quantico, the NCIS team uncover a bomb plot which soon leads them to a long-running theft ring while Torres and Quinn adjust to life as members of Gibbs's team which also includes new sitting arrangements.",James Whitmore Jr.,Steven D. Binder
14,3,Privileged Information,October 4th 2016,"As the NCIS team investigate a Marine Sergeant who fell from a building, Doctor Grace Confalone confides in Gibbs that he should treat it as a murder investigation while Torres searches for a place to live.",Edward Ornelas,George Schenck & Frank Cardea
14,4,Love Boat,October 18th 2016,"When the body of a Navy Lieutenant is discovered on board a destroyer during a tiger cruise where civilians guests are given the option of spending the night on the ship, Gibbs, Quinn and Palmer head to sea to investigate the circumstances behind the death while McGee thinks about the perfect proposal for Delilah.",Terrence O'Hara,Christopher J. Waild
14,5,Philly,October 18th 2016,"When a missing MI6 Officer is linked to a murdered petty officer, Gibbs sends Quinn and Bishop to Philadelphia to work with MI6 Officer Clayton Reeves with the case prompting Quinn to recall an NCIS case that made her leave field work and become an instructor at FLETC.",Allan Arkush,Scott Williams
14,6,Shell Game,"October 25th, 2016","After a Petty Officer escapes captivity, the NCIS team investigate and discover a connection her missing husband while Abby knits the NCIS newbies personalized gifts.",Thomas J. Wright,Brendan Fehily
14,7,Home of the Brave,"November 15th, 2016","Torres boldly breaks NCIS protocol when he discovers that a witness in a case that the NCIS team are investigating is wanted by I.C.E.- U.S. Immigration and Customs Enforcement while Abby, Bishop and McGee all attempt to woo landlord Tony DiNozzo Sr. in the hope of subletting Tony’s apartment,",Alrick Riley,Gina Lucita Monreal
14,8,Enemy Combatant,"November 22nd, 2016","After NCIS Agent Bishop is sent to Gitmo to gather evidence for a Navy chaplain murder case, she questions her previous work at the NSA. Also, Bishop's brothers, John and Robert visit for the Thanksgiving holiday and pester her co-workers to find out who she is dating. This episode was presented out of sequence. Originally this episode was intended to be presented after Pay to Play (episode). However for reasons that are unclear CBS decided to alter the schedule so that Enemy Combatant (episode) was shown before Pay to Play (episode).",Tony Wharmby,Jennifer Corbett
14,9,Pay to Play,"December 6th, 2016","The NCIS team investigates a series of escalating threats against congresswoman Jenna Fleming, while Director Vance oversees temporary protection detail. This episode was presented out of sequence. Originally this episode was intended to precede Enemy Combatant (episode). However for reasons that are unclear CBS decided to reverse the presentation schedule and show Enemy Combatant (episode) first.",Arvin Brown,Cindi Hemingway
14,10,The Tie That Binds,"December 13th, 2016","After the NCIS team discover evidence from the murder of a Navy Captain is connected to Ducky's dead mother, Ducky finds himself questioning a pivotal life choice he made 37 years ago while the team exchanges holiday gifts, and Gibbs spends Christmas dinner with Fornell.",Arvin Brown,Steven D. Binder
14,11,Willoughby,"January 3rd, 2017",NCIS searches for new leads after an undercover operation to apprehend a businessman who uses acts of terror to manipulate the stock market is compromised with Bishop and Qasim both later finding a break in the case.,Tony Wharmby,Gina Lucita Monreal
14,12,Off the Grid,"January 17th, 2017","After spotting the brother of an NCIS Most Wanted suspect, Gibbs immediately assumes a former alias and goes undercover with their infamous anti-government militia group while Bishop and Reeves work together on an off-the-books investigation.",Rocky Carroll,George Schenck & Frank Cardea
14,13,Keep Going,"January 24th, 2017",Keep Going (episode) followed Enemy Combatant (episode) but presentation of the episode was rescheduled so that episode aired after Off the Grid (episode).,Terrence O'Hara,Scott Williams & Matthew R. Jarrett & Scott J. Jarrett
14,14,Nonstop,"February 7th, 2017","The murder of a Petty Officer in a small town outside D.C. prompts NCIS to once again work with ""The Sherlocks,"" a privately funded investigative team that includes their newest member, Anthony DiNozzo, Sr.",Mark Horowitz,Brendan Fehily
14,15,Pandora's Box,"February 14, 2017","After Abby’s homeland security think-tank is compromised and she is later found in be possession of a real bomb while participating in an undercover operation for Homeland Security at a rock concert, the NCIS team investigate and subsequently discover that the leader of the group has been murdered and a theoretical terror playbook has been stolen. This episode was the first part of the two part crossover between NCIS and NCIS: New Orleans.",Alrick Riley,Christopher J. Waild
14,16,A Many Splendored Thing,"February 21, 2017","Bishop is more determined than ever to seek revenge for the murder of her late boyfriend, Qasim Naasir after the NCIS team uncover a new lead in the Chen case while Torres teaches the agents the art of pickpocketing.",Michael Zinberg,David J. North & Steven D. Binder
14,17,What Lies Above,"March 7, 2017",McGee discovers his apartment has been torn apart by a robber trying to locate an item of great value hidden somewhere by the convicted criminal who previously owned the unit while Congresswoman Flemming tries to persuade Director Vance to pursue a career in politics.,Leslie Libman,Scott Williams
14,18,M.I.A.,"March 14, 2017","To carry out a sailor's dying wish, Gibbs and the NCIS team re-investigate a murder case that was originally ruled an accidental death with the case reminding Torres of a tragic time from his past.",Thomas J. Wright,Jennifer Corbett
14,19,The Wall,"March 28, 2017","When a Marine is murdered at an event for the Honor Flight Network, a non-profit that arranges for veterans to visit the World War II, Korea and Vietnam War Memorials for free, the NCIS team must rely on an irritable Vietnam War veteran, Henry Rogers, to provide details on the victim's whereabouts throughout the day while McGee and Bishop investigate a juicy rumor about Quinn and Torres.",Bethany Rooney,Gina Lucita Monreal
14,20,A Bowl of Cherries,"April 4, 2017","After a vice admiral's laptop is infected with ransomware, he enlists McGee and the NCIS team to track down the hacker before the computer virus eliminates his personal and professional files while Alex takes time off to assist her mother, Marie Quinn, after she receives a ""911"" text.",Edward Ornelas,Brendan Fehily
14,21,"One Book, Two Covers","April 18, 2017",Torres must rely on old case notes and contacts after a Marine’s murder is linked to a former dirt bike gang he joined for a year-long undercover operation.,Terrence O'Hara,David J. North
14,22,Beastmaster,"May 2, 2017","When a Marine Sergeant is found murdered in a National Park, the NCIS team partner with Mounted Police Sergeant May Dawson to solve a string of related crimes in the park.",Bethany Rooney,Christopher J. Waild
14,23,Something Blue,"May 9, 2017",The stress of McGee and Delilah's imminent wedding takes its toll as Delilah is rushed to the hospital while the NCIS team travels out to sea after a young and healthy Petty Officer aboard a Navy destroyer dies in his sleep.,James Whitmore Jr.,Jennifer Corbett & Scott Williams
14,24,Rendezvous,"May 16, 2017","Gibbs, McGee and Torres travel to a remote area in Paraguay which is controlled by a group of violent rebels in an attempt to locate a missing Navy SEAL who disappeared during an unsanctioned trip.",Tony Wharmby,George Schenck & Frank Cardea & Steven D. Binder
15,1,House Divided,"September 26, 2017.","Two months after Gibbs and McGee were last seen fighting an elusive group of rebels in a Paraguay jungle, the NCIS team in D.C. tirelessly searches for their missing colleagues while Vance and Torres are summoned to a congressional hearing regarding the fallout from the Paraguay mission.",Tony Wharmby,Steven D. Binder
15,2,Twofer,"October 3, 2017.","NCIS is called in to investigate when the body of a missing Navy Lieutenant who disappeared a year and a half ago is located by a cemetery grounds crew while they are relocating caskets on the property. As the team attempt to solve their latest case, Gibbs and McGee must pass a psych evaluation with Doctor Grace Confalone before officially resuming all work responsibilities",James Whitmore Jr.,Scott Williams
15,3,Exit Strategy,"October 10, 2017.","While on a stakeout with Metro P.D., Torres's partner mysteriously vanishes with the subsequent investigation leading NCIS to uncover new evidence from a decade-old murder while Ducky's friend, Cadence Darwin presents him with a new opportunity during his guest lecture series.",Terrence O'Hara,Christopher J. Waild
15,4,Skeleton Crew,"October 17, 2017.","Director Vance welcomes NCIS Special Agent Jacqueline ""Jack"" Sloane, a forensic psychologist he lobbied to transfer from California, to headquarters. Also, in the midst of a storm that has shut down Washington, D.C. and knocked out power, the NCIS team investigates the kidnapping of a sailor, which sends Torres and Bishop out to sea to track evidence.",Rocky Carroll,Jennifer Corbett
15,5,Fake It 'Til You Make It,"October 24, 2017.","After Reeves sees his friend get kidnapped, the NCIS team discovers the primary suspect disappeared two days ago with confidential military information while an embarrassing photo from McGee’s teenage years becomes a popular meme. This episode was presented out of sequence. Originally this episode was intended to be presented after Trapped. However for reasons that are unclear CBS decided to alter the schedule so that Fake it 'til You Make it will be shown before Trapped.",Thomas J. Wright,David J. North
15,6,Trapped,"October 31, 2017","After a petty officer is found murdered on a golf course, McGee spends hours on the victim’s ham radio trying to locate a key witness while Palmer asks his co-workers to donate to a charity that builds playgrounds for kids of all abilities, and Torres surprises them with his generosity. This episode was presented out of sequence. Originally this episode was intended to be presented after Skeleton Crew. However for reasons that are unclear CBS decided to alter the schedule so that ""Fake it 'til You Make"" it will be shown before Trapped.",Bethany Rooney,Brendan Fehily
15,7,Burden of Proof,"November 7, 2017.","After a convicted felon swears the NCIS agency framed him for murder a decade ago, Gibbs begins his own investigation, starting with a new autopsy by Ducky while Fornell joins the team since he was the lead investigator in the original joint FBI and NCIS case.",Dennis Smith,Gina Lucita Monreal
15,8,Voices,"November 14, 2017.",An NCIS person of interest in a bribery and fraud case is found murdered after a runner is led to his body by a strange voice while McGee and Delilah disagree on whether to find out the baby's sex or keep it a surprise.,Tony Wharmby,Steven D. Binder
15,9,Ready or Not,"November 21, 2017.",The team's Thanksgiving plans are put on hold while they track an elusive international arms dealer in D.C. who recently murdered an MI5 officer who was Sloane's close friend while Abby races Delilah to the hospital when her labor starts three weeks early.,Terrence O'Hara,Scott Williams
15,10,Double Down,"December 12, 2017.","As Torres and Sloane run protection detail for U.S. Senator John Phillips in Afghanistan for the holidays, they must urgently return to the States after hearing the senator’s son is in the ICU. As that happens, Gibbs and the rest of the team investigate the altercation that caused the life threatening injuries to the senator's son.",Alrick Riley,Christopher J. Waild
15,11,High Tide,"January 2, 2018.","Torres and Bishop go undercover as a criminal couple available for hire, during an NCIS sting operation tracking illegal drug-running out of the Norfolk civilian marina.",Tony Wharmby,David J. North & Steven D. Binder
15,12,Dark Secrets,"January 9, 2018.","After a seemingly happy and successful Navy Lieutenant appears to have taken her own life, Gibbs and the team conduct a thorough investigation, interviewing family and friends from her past and present.",Bethany Rooney,George Schenck & Frank Cardea
15,13,Family Ties,"January 23, 2018.","After McGee and Torres visit the home of a high schooler who witnessed a hit and run, her parents, Christopher and Julie Bell, flee with their daughter, leaving NCIS in the lurch while Vance's daughter is arrested for shoplifting.",Rocky Carroll,Brendan Fehily
15,14,Keep Your Friends Close,"February 6, 2018.","After the body of a missing Navy commander is found, Vance orders Gibbs and the team to work with former FBI Agent Tobias ""T.C."" Fornell, the private investigator who was hired to locate him while Bishop and Torres interview convicted investment advisor Albert Hathaway when the victim is linked to his highly publicized trial.",Mark Horowitz,Gina Lucita Monreal
15,15,Keep Your Enemies Closer,"February 27, 2018.","NCIS strikes a deal with convicted murderer Paul Triff, giving him a 48-hour furlough at his former residence, now McGee's home, in exchange for information that can convict his former cellmate, Gabriel Hicks, the murderer who deceived Gibbs and Fornell.",Thomas J. Wright,Jennifer Corbett
15,16,Handle With Care,"March 6, 2018.",Gibbs and the team work to clear the name of retired Marine Sergeant John Ross when cyanide is found in one of the hundreds of care packages he sends to active-duty Marines.,Alrick Riley,Scott J. Jarrett & Matthew R. Jarrett
15,17,One Man's Trash,"March 13, 2018.",Gibbs and Ducky see an antique war stick on television that the two soon realize could be the missing murder weapon to a 16-year-old cold case.,Michael Zinberg,Scott Williams
15,18,Death From Above,"March 27, 2018.","The NCIS headquarters are evacuated after the team discovers a body as well as bomb materials on the roof of the squad room. Also, the team reads the first draft of Ducky's book.",Rocky Carroll,Christopher J. Waild
15,19,The Numerical Limit,"April 3, 2018.","Gibbs is granted protective custody of a 10-year-old orphaned refugee, Elena, when an NCIS case reveals she is the target of a violent gang.",Leslie Libman,David J. North & Steven D. Binder
15,20,Sight Unseen,"April 17, 2018.","NCIS searches for a Petty Officer suspected of assault who escapes when the sheriff transporting him crashes into a lake while Torres works closely with Annie Barth, a key blind witness who heard vital evidence needed to solve the case.",Bethany Rooney,Brendan Fehily
15,21,One Step Forward,"May 1, 2018.",Sara Carter begs Gibbs to investigate her mother's murder as she believes the local authorities convicted the wrong man while Abby is awarded a dinner reservation for two to a brand-new five-star restaurant in an igloo and has to decide which coworker deserves to go with her.,James Whitmore Jr.,Gina Lucita Monreal
15,22,Two Steps Back,"May 8, 2018.","When evidence reveals an NCIS team member is a hitman's latest target, the team must search through old case files to determine who is seeking vengeance.",Michael Zinberg,Jennifer Corbett
15,23,Fallout,"May 15, 2018.","While Gibbs attends the memorial service for a friend who was lost at sea, he discovers that the deceased, Navy Captain Phillip Brooks, has been hiding in a fallout shelter after his boat was attacked and he swam to shore.",Terrence O'Hara,David J. North & Christopher J. Waild
15,24,Date With Destiny,"May 22, 2018.","Sloane is adamant that a man who held her hostage and tortured her years ago in Afghanistan, and was believed to have been killed following her rescue, is alive and in D.C., leading Vance and Gibbs to fear she is willing to risk everything to destroy this man.",Tony Wharmby,Scott Williams & George Schenck & Frank Cardea
16,1,Destiny's Child,"September 25th, 2018",Gibbs is assigned the role of acting director while the team continues their worldwide search for Director Vance.,Tony Wharmby,Steven D. Binder
16,2,Love Thy Neighbor,"October 2nd, 2018","After a Navy lieutenant is found murdered in his hot tub, the team interviews several families in the victim's peculiar neighborhood while Torres must face the consequences after a volatile night out with Palmer.",Terrence O'Hara,Scott Williams
