Season,Episode,Title,Airdate,Synopsis,Directed by,Written by
5,13,Dog Tags,"April 15, 2008.","The NCIS team raid the home of a Petty Officer and suspected drug dealer, only to find their suspect dead while McGee is left injured by being attacked by the victim's dog. As the team try to determine what happened while also attempting to dismantle a ongoing drug ring at the Pax River Naval Air Base, Abby puts her career and future at NCIS on the line as she seeks to protect the dog's innocence.",Oz Scott,Dan E. Fesman & Alfonso H. Moreno
5,14,Internal Affairs,"April 22, 2008.",The Frog's body is eventually discovered and the FBI led by Agent Tobias Fornell descend on NCIS to interview the members of the main NCIS team. This episode marks the debut appearance of Deputy Director/future NCIS Director Leon Vance.,Tony Wharmby,Jesse Stern & Reed Steiner
5,15,In the Zone,"April 29, 2008.","A Marine Captain is murdered in Iraq, prompting NCIS to investigate. As Gibbs, McGee, Ziva and Abby tackle the case from Washington D.C., Tony and Nikki Jardine head to Iraq to determine what really happened.",Terrence O'Hara,Linda Burstyn
5,16,Recoil,"May 6, 2008.",Ziva goes undercover to stop a serial killer but further investigation by NCIS soon reveals that there may be a copycat killer out there.,James Whitmore Jr.,George Schenck & Frank Cardea & Dan E. Fesman
5,17,About Face,"May 13, 2008.",NCIS investigate the death of a worker and soon discover that an assassin is targeting one of the NCIS team.,Dennis Smith,Alfonso H. Moreno & Reed Steiner & Jesse Stern
5,18,Judgment Day Part 1,"May 20, 2008.","Jenny investigates the death of a former NIS agent and soon begins to suspect that there may be something bigger at stake. This episode marks the final appearance of Director Jenny Shepard although she would later return in the Season 9 episode, Life Before His Eyes (episode).",Thomas J. Wright,Steven D. Binder & David J. North
5,19,Judgment Day Part 2,"May 20, 2008.","As the main NCIS team struggle to come to terms with Jenny Shepard's murder, they must also find out who is responsible while Tony and Ziva struggle to cope with the fact that they both failed to protect Jenny.",Thomas J. Wright,David J. North & Christopher J. Waild & Steven D. Binder
6,1,Last Man Standing,"September 23, 2008.",A Petty Officer is found murdered and it appears that the death is connected to newly appointed NCIS Director Leon Vance's decision to break up Gibbs's original NCIS team and create a new one in its place while Gibbs and Vance start to suspect the possibility that one member of Gibbs's new team may be a mole but all is not what it seems.,Tony Wharmby,Shane Brennan
6,2,Agent Afloat,"September 30, 2008.","A Navy Lieutenant apparently falls overboard, prompting NCIS to investigate but when McGee and Ziva arrive at the Lieutenant's home, they discover that his wife has been murdered and that it may be connected to a possible anthrax attack on the USS Seahawk.",Thomas J. Wright,Dan E. Fesman & David J. North
6,3,Capitol Offense,"October 7, 2008.",The body of a Lieutenant Commander is pulled from a river and NCIS investigate. Gibbs soon finds his loyalties being tested when an old friend who is now a Senator contacts Gibbs for help while Abby attempts to find out who stole the cupcake that she received from Ziva.,Dennis Smith,George Schenck & Frank Cardea
6,4,Heartland,"October 14, 2008.","Two Marines are attacked in an alleyway outside a bar. one Marine dies while the other survives. The investigation leads Gibbs, McGee and Ziva and later Tony and Abby to Gibbs's hometown: Stillwater, Pennsylvania where they meet Gibbs's estranged father.",Tony Wharmby,Jesse Stern
6,5,Nine Lives,"October 21, 2008.","A Marine is found dead in a garage and the NCIS team's investigation leads them to a possible suspect: the victim's former C.O, only for NCIS to discover that the suspect is under FBI protection...",Dennis Smith,Linda Burstyn & Dan E. Fesman & David J. North
6,6,Murder 2.0,"October 28, 2008.",NCIS investigate when the body of a Navy Petty Officer and finds themselves pursing a psychopathic serial killer.,Arvin Brown,Steven D. Binder
6,7,Collateral Damage,"November 11, 2008.","A bank at Quantico is robbed, resulting in the death of a security guard. The NCIS team investigate the crime with a rookie agent assisting them. This episode also marks the final albeit uncredited appearance of deceased NCIS Special Agent Paula Cassidy.",Terrence O'Hara,Alfonso H. Moreno
6,8,Cloak,"November 18, 2008.",The NCIS team participate in a dangerous war game and a shocking secret about one NCIS Special Agent is finally revealed.,James Whitmore Jr.,Jesse Stern
6,9,Dagger,"November 25, 2008.","With Michelle Lee having been exposed as the NCIS mole, the NCIS team must work with the disgraced Agent to help her save her kidnapped sister before it's too late while Tony struggles to deal with Lee's betrayal. This episode marked the final appearance of NCIS Special Agent Michelle Lee.",Dennis Smith,Reed Steiner & Christopher J. Waild
6,10,Road Kill,"December 2, 2008.","The NCIS team investigate the death of a Petty Officer and as such, are led into the underground world of street fighting.",Thomas J. Wright,Steven Kriozere
6,11,Silent Night,"December 16, 2008.","Two days before Christmas, the NCIS team investigate a home invasion robbery and are left stunned when the suspect is thought have died nineteen years previously..",Tony Wharmby,George Schenck & Frank Cardea
6,12,Caged,"January 6, 2009.","A simple interview with a suspect turns serious when a security guard stumbles into the visiting center of the local Maryland Prison McGee is visiting, triggering a riot. The prisoners respond by taking a few of the guards as well as McGee himself hostage with one demand: find and bring the murderer responsible to justice. With time of the essence, Gibbs, Tony, Ziva, Abby and Ducky must work to solve the case and save McGee before it's too late.",Leslie Libman,Alfonso H. Moreno
